place_id,selected_photo_index,selected_photo_path,photo_needs_placeholder,notes
a62f2d4e-376c-43bd-a437-855934777edb,1,scraped_photos/a62f2d4e-376c-43bd-a437-855934777edb.webp,False,timestamp_in_photo_2_3
571b0976-5f7c-4a78-952f-7ec4eea6865e,1,scraped_photos/571b0976-5f7c-4a78-952f-7ec4eea6865e.webp,False,timestamp_in_photo_2
da0859e0-370b-4a15-93d3-0d9e0be434d6,2,scraped_photos/da0859e0-370b-4a15-93d3-0d9e0be434d6_2.webp,False,
ed639775-c22c-419d-bb34-65b11c127352,2,scraped_photos/ed639775-c22c-419d-bb34-65b11c127352_2.webp,False,
cfd7704a-cefb-4a9d-b89a-2416f96bf807,1,scraped_photos/cfd7704a-cefb-4a9d-b89a-2416f96bf807.webp,False,faces_in_photo_2
c01cee8f-51f6-4259-ac2f-71f4adb536ed,1,scraped_photos/c01cee8f-51f6-4259-ac2f-71f4adb536ed.webp,False,
2bc0975a-0500-4d9f-afe3-314a0c7127dd,2,scraped_photos/2bc0975a-0500-4d9f-afe3-314a0c7127dd_2.webp,False,
3c0f572b-e437-4e42-ad56-60cb46a0720e,2,scraped_photos/3c0f572b-e437-4e42-ad56-60cb46a0720e_2.webp,False,timestamp_in_photo_1
8a562765-e428-4117-a64c-767607f2bb68,2,scraped_photos/8a562765-e428-4117-a64c-767607f2bb68_2.webp,False,
0912f0a8-d7a8-4acb-affd-0c4edcc35880,2,scraped_photos/0912f0a8-d7a8-4acb-affd-0c4edcc35880_2.webp,False,
ff8cce76-38a6-4e3b-91ec-c6440991dfe0,2,scraped_photos/ff8cce76-38a6-4e3b-91ec-c6440991dfe0_2.webp,False,
d6c98237-263e-49e3-9c5a-9c1eec2a9f2a,3,scraped_photos/d6c98237-263e-49e3-9c5a-9c1eec2a9f2a_3.webp,False,faces_in_photo_2
169eebef-e598-461d-8918-f36be34dcfa7,2,scraped_photos/169eebef-e598-461d-8918-f36be34dcfa7_2.webp,False,
73b65fbe-330c-45d2-bef7-511658e33d02,1,scraped_photos/73b65fbe-330c-45d2-bef7-511658e33d02.webp,False,
c84526c6-2b34-4884-abe7-5769b5fb738e,,,True,all_photos_have_faces; faces_in_photo_1_2
a9111ae9-426f-49d9-b3a4-c029fb55132a,3,scraped_photos/a9111ae9-426f-49d9-b3a4-c029fb55132a_3.webp,False,
c09f12d5-397d-4a79-ad0a-d343e0a034c0,1,scraped_photos/c09f12d5-397d-4a79-ad0a-d343e0a034c0.webp,False,
62830378-d04a-4e98-afe5-3b2cbefb2178,1,scraped_photos/62830378-d04a-4e98-afe5-3b2cbefb2178.webp,False,
badfbb1b-ffab-4f17-82fb-d2d38335c08b,2,scraped_photos/badfbb1b-ffab-4f17-82fb-d2d38335c08b_2.webp,False,faces_in_photo_1
50c69450-e89d-4f45-b684-c2d2c503f40f,1,scraped_photos/50c69450-e89d-4f45-b684-c2d2c503f40f.webp,False,
7ac463ab-d11d-4307-a9e3-85f4809f8969,2,scraped_photos/7ac463ab-d11d-4307-a9e3-85f4809f8969_2.webp,False,faces_in_photo_3
67bdd7a4-c247-41fc-805d-f1d136ef1606,1,scraped_photos/67bdd7a4-c247-41fc-805d-f1d136ef1606.webp,False,
05469193-aa14-498a-b8f7-f8815e8b3d20,1,scraped_photos/05469193-aa14-498a-b8f7-f8815e8b3d20.webp,False,
8764574e-f136-42bf-888d-a94162e78c02,2,scraped_photos/8764574e-f136-42bf-888d-a94162e78c02_2.webp,False,timestamp_in_photo_1_2
19436085-40e2-4a87-baca-f511416f154c,1,scraped_photos/19436085-40e2-4a87-baca-f511416f154c.webp,False,
6f7cd891-2fbd-468b-8385-2e4e7082b109,2,scraped_photos/6f7cd891-2fbd-468b-8385-2e4e7082b109_2.webp,False,
4b9b29cf-bb2b-4ced-bfbe-6d17a27aec22,3,scraped_photos/4b9b29cf-bb2b-4ced-bfbe-6d17a27aec22_3.webp,False,
7e9e1c74-84f9-46b2-b9ab-8a2fa52fd8a4,3,scraped_photos/7e9e1c74-84f9-46b2-b9ab-8a2fa52fd8a4_3.webp,False,faces_in_photo_1; timestamp_in_photo_2_3
7b35c318-a1ba-4035-81bc-4e486a7ce7ef,2,scraped_photos/7b35c318-a1ba-4035-81bc-4e486a7ce7ef_2.webp,False,
be4535f0-32c4-43ec-86a9-3bf46c202b40,2,scraped_photos/be4535f0-32c4-43ec-86a9-3bf46c202b40_2.webp,False,
85e8f88d-5a4c-4cc9-8954-4b9e9ca57b17,2,scraped_photos/85e8f88d-5a4c-4cc9-8954-4b9e9ca57b17_2.webp,False,
403e39e6-f6c7-4fee-91ff-bff658802a3d,1,scraped_photos/403e39e6-f6c7-4fee-91ff-bff658802a3d.webp,False,
68b430c5-03af-4c5e-ae46-05f32bc662a3,2,scraped_photos/68b430c5-03af-4c5e-ae46-05f32bc662a3_2.webp,False,
226d239c-b2b8-4156-8b04-3ac9a6302cd3,1,scraped_photos/226d239c-b2b8-4156-8b04-3ac9a6302cd3.webp,False,faces_in_photo_2
fb030d8a-5217-4553-8830-f09eebca1d8f,1,scraped_photos/fb030d8a-5217-4553-8830-f09eebca1d8f.webp,False,timestamp_in_photo_3
784c3039-d0f7-4bb6-a668-44345b1b6656,1,scraped_photos/784c3039-d0f7-4bb6-a668-44345b1b6656.webp,False,faces_in_photo_2
53aada64-8eb4-4b81-b96a-8e6d733edf3e,2,scraped_photos/53aada64-8eb4-4b81-b96a-8e6d733edf3e_2.webp,False,
